Date,Open,High,Low,Close,Adj Close,Volume
2018-09-13,1.640000,1.670000,1.630000,1.650000,1.566626,39100
2018-09-14,1.670000,1.670000,1.620000,1.660000,1.576121,44800
2018-09-17,1.670000,1.680000,1.620000,1.680000,1.595110,49300
2018-09-18,1.670000,1.690000,1.640000,1.650000,1.566626,25300
2018-09-19,1.660000,1.660000,1.630000,1.640000,1.557132,37600
2018-09-20,1.630000,1.650000,1.610000,1.610000,1.528647,79100
2018-09-21,1.620000,1.670000,1.620000,1.670000,1.585616,23500
2018-09-24,1.660000,1.660000,1.630000,1.640000,1.557132,15800
2018-09-25,1.650000,1.650000,1.620000,1.630000,1.547637,12100
2018-09-26,1.630000,1.630000,1.600000,1.600000,1.519153,49900
2018-09-27,1.610000,1.650000,1.610000,1.620000,1.538142,67700
2018-09-28,1.640000,1.640000,1.620000,1.630000,1.547637,16500
2018-10-01,1.630000,1.630000,1.590000,1.590000,1.509658,155900
2018-10-02,1.600000,1.660000,1.600000,1.650000,1.566626,78100
2018-10-03,1.650000,1.740000,1.650000,1.720000,1.633089,122900
2018-10-04,1.720000,1.720000,1.670000,1.710000,1.623595,4700
2018-10-05,1.700000,1.730000,1.670000,1.700000,1.614100,44000
2018-10-08,1.710000,1.750000,1.700000,1.740000,1.652079,80400
2018-10-09,1.740000,1.740000,1.690000,1.700000,1.614100,52400
2018-10-10,1.690000,1.690000,1.670000,1.690000,1.604605,42400
2018-10-11,1.720000,1.720000,1.670000,1.680000,1.595110,37100
2018-10-15,1.700000,1.720000,1.690000,1.720000,1.633089,17000
2018-10-16,1.710000,1.710000,1.680000,1.710000,1.623595,21000
2018-10-17,1.710000,1.710000,1.690000,1.690000,1.604605,19300
2018-10-18,1.720000,1.720000,1.680000,1.700000,1.614100,36800
2018-10-19,1.700000,1.720000,1.680000,1.720000,1.633089,126500
2018-10-22,1.730000,1.800000,1.710000,1.730000,1.642584,124600
2018-10-23,1.750000,1.770000,1.720000,1.770000,1.680562,71800
2018-10-24,1.760000,1.800000,1.740000,1.740000,1.652079,63800
2018-10-25,1.730000,1.790000,1.730000,1.780000,1.690057,94300
2018-10-26,1.760000,1.800000,1.740000,1.800000,1.709047,81900
2018-10-29,1.770000,1.800000,1.760000,1.800000,1.709047,86500
2018-10-30,1.800000,1.800000,1.750000,1.770000,1.680562,100700
2018-10-31,1.760000,1.800000,1.760000,1.800000,1.709047,70900
2018-11-01,1.790000,1.790000,1.750000,1.760000,1.671068,136800
2018-11-05,1.780000,1.800000,1.750000,1.790000,1.699552,147200
2018-11-06,1.790000,1.900000,1.770000,1.900000,1.803994,369700
2018-11-07,1.910000,2.010000,1.870000,1.910000,1.813488,429600
2018-11-08,1.910000,1.910000,1.820000,1.900000,1.803994,148900
2018-11-09,1.900000,2.050000,1.850000,2.050000,1.946414,371700
2018-11-12,2.020000,2.240000,1.960000,2.000000,1.898941,1797000
2018-11-13,2.080000,2.080000,1.920000,1.950000,1.851467,341000
2018-11-14,1.980000,2.040000,1.920000,1.940000,1.841973,218400
2018-11-16,1.990000,1.990000,1.920000,1.930000,1.832478,126300
2018-11-19,1.980000,1.980000,1.930000,1.950000,1.851467,71800
2018-11-21,1.930000,1.950000,1.910000,1.930000,1.832478,173100
2018-11-22,1.940000,1.950000,1.930000,1.950000,1.851467,51500
2018-11-23,1.950000,1.960000,1.920000,1.950000,1.851467,59200
2018-11-26,1.950000,1.950000,1.880000,1.920000,1.822983,100400
2018-11-27,1.900000,1.910000,1.880000,1.900000,1.803994,104500
2018-11-28,1.900000,1.910000,1.850000,1.910000,1.813488,152100
2018-11-29,1.910000,1.940000,1.880000,1.910000,1.813488,281100
2018-11-30,1.900000,1.980000,1.900000,1.960000,1.860962,103300
2018-12-03,2.000000,2.000000,1.910000,1.930000,1.832478,155700
2018-12-04,1.940000,1.960000,1.900000,1.920000,1.822983,90700
2018-12-05,1.920000,1.920000,1.910000,1.910000,1.813488,32200
2018-12-06,1.910000,1.930000,1.900000,1.930000,1.832478,50900
2018-12-07,1.910000,1.930000,1.900000,1.910000,1.813488,75300
2018-12-10,1.900000,1.920000,1.870000,1.900000,1.803994,93700
2018-12-11,1.910000,1.960000,1.880000,1.950000,1.851467,422300
2018-12-12,1.910000,1.990000,1.910000,1.990000,1.889446,129400
2018-12-13,1.980000,1.980000,1.950000,1.980000,1.879951,62100
2018-12-14,1.980000,1.980000,1.940000,1.980000,1.879951,207500
2018-12-17,1.980000,1.980000,1.920000,1.950000,1.851467,43500
2018-12-18,1.960000,1.970000,1.920000,1.940000,1.841973,32000
2018-12-19,1.940000,1.940000,1.920000,1.920000,1.822983,40500
2018-12-20,1.930000,1.930000,1.860000,1.880000,1.785004,184100
2018-12-21,1.900000,1.910000,1.890000,1.890000,1.794499,31900
2018-12-26,1.890000,1.970000,1.860000,1.970000,1.870457,167800
2018-12-27,1.960000,1.960000,1.910000,1.910000,1.813488,24600
2018-12-28,1.900000,1.960000,1.900000,1.950000,1.851467,36200
2019-01-02,1.950000,2.050000,1.930000,2.000000,1.898941,179000
2019-01-03,2.000000,2.040000,1.920000,1.940000,1.841973,113200
2019-01-04,1.930000,1.980000,1.930000,1.970000,1.870457,83000
2019-01-07,1.980000,2.000000,1.950000,1.950000,1.851467,130500
2019-01-08,1.950000,1.970000,1.930000,1.950000,1.851467,54400
2019-01-09,1.950000,1.980000,1.950000,1.960000,1.860962,112300
2019-01-10,1.980000,2.040000,1.960000,2.040000,1.936920,101700
2019-01-11,2.040000,2.090000,1.980000,2.050000,1.946414,215000
2019-01-14,2.050000,2.080000,2.010000,2.030000,1.927425,90800
2019-01-15,2.010000,2.040000,2.010000,2.020000,1.917930,35700
2019-01-16,2.030000,2.040000,1.970000,1.970000,1.870457,71100
2019-01-17,2.000000,2.040000,1.950000,2.000000,1.898941,119400
2019-01-18,2.000000,2.030000,1.990000,2.030000,1.927425,198700
2019-01-21,2.050000,2.240000,2.030000,2.150000,2.041361,473900
2019-01-22,2.200000,2.280000,2.170000,2.190000,2.079340,947100
2019-01-23,2.200000,2.280000,2.180000,2.180000,2.069846,326600
2019-01-24,2.220000,2.240000,2.110000,2.170000,2.060351,157400
2019-01-28,2.150000,2.160000,2.080000,2.130000,2.022372,259100
2019-01-29,2.130000,2.170000,2.120000,2.150000,2.041361,84700
2019-01-30,2.150000,2.240000,2.150000,2.170000,2.060351,155900
2019-01-31,2.170000,2.230000,2.170000,2.180000,2.069846,94700
2019-02-01,2.200000,2.200000,2.160000,2.180000,2.069846,63900
2019-02-04,2.200000,2.270000,2.200000,2.270000,2.155298,250400
2019-02-05,2.270000,2.290000,2.220000,2.270000,2.155298,290700
2019-02-06,2.290000,2.350000,2.290000,2.340000,2.221761,316000
2019-02-07,2.350000,2.530000,2.300000,2.530000,2.402160,1063500
2019-02-08,2.490000,2.940000,2.460000,2.840000,2.696496,2233000
2019-02-11,2.890000,3.000000,2.840000,2.910000,2.762959,1434200
2019-02-12,2.980000,3.090000,2.910000,3.060000,2.905379,1455900
2019-02-13,3.100000,3.670000,3.090000,3.480000,3.304157,3245300
2019-02-14,3.510000,3.900000,3.480000,3.850000,3.655461,4563000
2019-02-15,3.910000,3.990000,3.500000,3.500000,3.323146,5111900
2019-02-18,3.540000,3.540000,3.010000,3.250000,3.085779,2538100
2019-02-19,3.350000,3.690000,3.130000,3.610000,3.427588,1695700
2019-02-20,3.680000,3.750000,3.320000,3.500000,3.323146,1316700
2019-02-21,3.590000,3.590000,3.360000,3.400000,3.228199,606800
2019-02-22,3.450000,3.490000,3.260000,3.280000,3.114263,426400
2019-02-25,3.300000,3.320000,3.150000,3.180000,3.019316,474400
2019-02-26,3.230000,3.230000,3.090000,3.130000,2.971843,497800
2019-02-27,3.140000,3.330000,3.050000,3.050000,2.895885,14958800
2019-02-28,3.080000,3.120000,2.950000,3.000000,2.848412,6571200
2019-03-01,3.010000,3.170000,3.000000,3.100000,2.943358,936500
2019-03-06,null,null,null,null,null,null
2019-03-07,3.140000,3.150000,3.020000,3.080000,2.924369,6041400
2019-03-08,3.080000,3.230000,3.030000,3.120000,2.962348,414300
2019-03-11,3.190000,3.300000,3.150000,3.240000,3.076284,557400
2019-03-12,3.250000,3.320000,3.250000,3.280000,3.114263,205700
2019-03-13,3.320000,3.440000,3.300000,3.400000,3.228199,827300
2019-03-14,3.450000,3.490000,3.410000,3.450000,3.275673,702100
2019-03-15,3.460000,3.530000,3.440000,3.440000,3.266178,503100
2019-03-18,3.470000,3.530000,3.370000,3.400000,3.228199,441500
2019-03-19,3.450000,3.460000,3.370000,3.420000,3.247189,525900
2019-03-20,3.400000,3.480000,3.370000,3.370000,3.199715,745700
2019-03-21,3.400000,3.430000,3.250000,3.350000,3.180726,515000
2019-03-22,3.350000,3.360000,3.170000,3.260000,3.095273,588800
2019-03-25,3.260000,3.290000,3.210000,3.260000,3.095273,130600
2019-03-26,3.270000,3.460000,3.250000,3.350000,3.180726,663400
2019-03-27,3.330000,3.330000,3.200000,3.300000,3.133253,309000
2019-03-28,3.250000,3.300000,3.200000,3.280000,3.114263,303100
2019-03-29,3.300000,3.390000,3.260000,3.260000,3.095273,237300
2019-04-01,3.300000,3.300000,3.240000,3.290000,3.123758,4004000
2019-04-02,3.270000,3.300000,3.230000,3.290000,3.123758,262300
2019-04-03,3.300000,3.300000,3.230000,3.280000,3.114263,2475200
2019-04-04,3.300000,3.300000,3.260000,3.270000,3.104768,346700
2019-04-05,3.290000,3.300000,3.210000,3.250000,3.085779,242100
2019-04-08,3.240000,3.290000,3.220000,3.240000,3.076284,139300
2019-04-09,3.250000,3.250000,3.180000,3.180000,3.019316,224800
2019-04-10,3.200000,3.230000,3.180000,3.220000,3.057295,85800
2019-04-11,3.220000,3.220000,3.180000,3.200000,3.038305,218700
2019-04-12,3.190000,3.190000,3.070000,3.110000,2.952853,447400
2019-04-15,3.100000,3.300000,3.100000,3.230000,3.066790,957600
2019-04-16,3.240000,3.250000,3.180000,3.190000,3.028811,502400
2019-04-17,3.230000,3.320000,3.150000,3.190000,3.028811,403500
2019-04-18,3.220000,3.270000,3.180000,3.210000,3.047800,386600
2019-04-22,3.250000,3.300000,3.200000,3.240000,3.076284,288800
2019-04-23,3.230000,3.280000,3.210000,3.240000,3.076284,156200
2019-04-24,3.250000,3.250000,3.180000,3.210000,3.047800,107800
2019-04-25,3.210000,3.260000,3.180000,3.200000,3.038305,210900
2019-04-26,3.210000,3.250000,3.160000,3.240000,3.076284,114800
2019-04-29,3.240000,3.400000,3.210000,3.350000,3.180726,655500
2019-04-30,3.410000,3.440000,3.340000,3.390000,3.218705,519100
2019-05-02,3.390000,3.390000,3.280000,3.280000,3.114263,244700
2019-05-03,3.350000,3.380000,3.280000,3.330000,3.161737,143500
2019-05-06,3.300000,3.300000,3.200000,3.300000,3.133253,146900
2019-05-07,3.330000,3.330000,3.280000,3.290000,3.123758,190600
2019-05-08,3.500000,3.540000,3.310000,3.310000,3.142747,672100
2019-05-09,3.340000,3.390000,3.310000,3.320000,3.152242,241700
2019-05-10,3.320000,3.360000,3.300000,3.310000,3.142747,139000
2019-05-13,3.310000,3.400000,3.280000,3.370000,3.199715,256200
2019-05-14,3.370000,3.370000,3.300000,3.310000,3.142747,89500
2019-05-15,3.310000,3.310000,3.170000,3.230000,3.066790,374700
2019-05-16,3.230000,3.230000,3.150000,3.220000,3.057295,243800
2019-05-17,3.350000,3.480000,3.320000,3.400000,3.228199,1486300
2019-05-20,3.430000,3.900000,3.430000,3.790000,3.598493,1874200
2019-05-21,3.820000,3.900000,3.790000,3.860000,3.664956,893500
2019-05-22,4.170000,4.790000,4.120000,4.760000,4.519479,4925200
2019-05-23,5.000000,5.580000,4.820000,5.500000,5.222087,7460900
2019-05-24,5.550000,5.950000,4.820000,5.080000,4.823310,6846000
2019-05-27,5.150000,5.490000,5.090000,5.350000,5.079666,3184500
2019-05-28,5.390000,5.460000,5.310000,5.350000,5.152812,2292400
2019-05-29,5.450000,5.820000,5.390000,5.800000,5.586227,4710900
2019-05-30,5.900000,7.050000,5.870000,6.940000,6.684209,10122100
2019-05-31,6.860000,8.400000,6.550000,8.050000,7.753297,15525500
2019-06-03,8.250000,8.780000,6.890000,7.100000,6.838312,18239600
2019-06-04,6.810000,7.470000,6.220000,7.150000,6.886469,7661300
2019-06-05,7.240000,7.540000,6.670000,6.760000,6.510844,3388200
2019-06-06,6.960000,6.960000,6.270000,6.650000,6.404898,3813900
2019-06-07,6.770000,7.080000,6.650000,6.960000,6.703472,2621500
2019-06-10,7.070000,7.220000,6.920000,6.960000,6.703472,1551400
2019-06-11,7.100000,7.140000,6.820000,6.950000,6.693841,1138300
2019-06-12,6.950000,6.980000,6.660000,6.800000,6.549369,804300
2019-06-13,6.790000,6.790000,6.550000,6.750000,6.501212,1349600
2019-06-14,6.780000,7.210000,6.640000,7.120000,6.857575,3094700
2019-06-17,7.180000,7.580000,7.050000,7.500000,7.223569,3838000
2019-06-18,7.650000,7.970000,7.600000,7.890000,7.599194,3250500
2019-06-19,8.080000,8.150000,7.720000,7.860000,7.570301,2497500
2019-06-21,7.880000,8.120000,7.850000,7.990000,7.695508,1374700
2019-06-24,8.080000,8.080000,7.750000,7.780000,7.493249,1108700
2019-06-25,7.920000,7.960000,7.500000,7.650000,7.368041,1472900
2019-06-26,7.780000,7.980000,7.770000,7.920000,7.628089,1842300
2019-06-27,7.950000,8.580000,7.850000,8.500000,8.186711,2896600
2019-06-28,8.820000,9.240000,8.660000,8.930000,8.600863,5860800
2019-07-01,9.220000,9.650000,9.200000,9.650000,9.294324,3568700
2019-07-02,9.890000,10.840000,9.810000,10.610000,10.218942,8830800
2019-07-03,10.160000,10.590000,9.880000,10.100000,9.727739,5617300
2019-07-04,10.160000,10.500000,10.160000,10.250000,9.872211,2256600
2019-07-05,10.390000,10.410000,9.990000,10.200000,9.824054,1859200
2019-07-08,10.290000,10.470000,9.930000,10.080000,9.708476,2311000
2019-07-10,10.200000,10.250000,9.980000,10.110000,9.737370,2409100
2019-07-11,9.650000,9.940000,9.350000,9.520000,9.169117,3259600
2019-07-12,9.590000,9.700000,9.200000,9.500000,9.149854,1716400
2019-07-15,9.550000,9.590000,9.310000,9.400000,9.053540,885200
2019-07-16,9.370000,10.450000,9.220000,10.300000,9.920368,5270200
2019-07-17,10.400000,10.830000,9.900000,9.900000,9.535110,3424900
2019-07-18,9.990000,10.280000,9.740000,10.050000,9.679583,2647700
2019-07-19,10.240000,10.280000,9.920000,9.920000,9.554374,1131000
2019-07-22,10.000000,10.110000,9.610000,9.720000,9.361745,1332700
2019-07-23,9.720000,9.840000,9.580000,9.620000,9.265431,728200
2019-07-24,9.710000,9.970000,9.630000,9.640000,9.284695,1202000
2019-07-25,9.680000,9.890000,9.430000,9.500000,9.149854,770300
2019-07-26,9.500000,9.750000,9.360000,9.630000,9.275063,669000
2019-07-29,9.700000,9.850000,9.490000,9.650000,9.294324,961800
2019-07-30,9.780000,9.950000,9.500000,9.500000,9.149854,1288000
2019-07-31,9.600000,9.650000,9.370000,9.450000,9.101697,1298600
2019-08-01,9.540000,9.880000,9.520000,9.590000,9.236537,1464600
2019-08-02,9.630000,9.780000,9.590000,9.760000,9.400271,1294200
2019-08-05,9.780000,10.690000,9.620000,10.620000,10.228573,4382600
2019-08-06,10.840000,12.340000,10.730000,12.050000,11.605868,9141000
2019-08-07,12.400000,12.950000,11.170000,11.350000,10.931668,8669400
2019-08-08,11.700000,12.090000,11.300000,11.800000,11.365083,4847800
2019-08-09,11.800000,12.070000,11.560000,11.590000,11.162823,2461600
2019-08-12,11.590000,11.980000,11.500000,11.540000,11.114665,1329200
2019-08-13,11.790000,11.800000,11.340000,11.560000,11.133929,1610100
2019-08-14,11.310000,11.380000,10.600000,10.800000,10.401938,4773500
2019-08-15,10.900000,11.050000,9.650000,9.780000,9.419534,4286700
2019-08-16,9.600000,10.550000,9.400000,10.000000,9.631425,3705600
2019-08-19,10.350000,10.350000,9.060000,9.230000,8.889805,3086300
2019-08-20,9.200000,9.770000,8.430000,9.770000,9.409903,3301300
2019-08-21,9.980000,10.050000,9.510000,9.690000,9.332851,3185500
2019-08-22,9.730000,9.890000,9.480000,9.610000,9.255798,1548500
2019-08-23,9.000000,9.530000,8.910000,9.200000,8.860910,2636100
